the_geom,cartodb_id,x,y,objectid,store,address,xcoord,ycoord,matchtype,mar_id,latitude,longitude
0101000020E6100000800084D5393F53C02C405FA3FA6E4340,1,-76.9879071861147,38.8670313198937,1,24 Express,1223 Good Hope Rd SE,401049.66,133244.73,Exact,71043,38.86702387,-76.98790491
0101000020E6100000A09CB2E47B4153C071D3767E17774340,2,-77.0231891461319,38.9304119387199,2,7 Days Market,3211 Georgia Ave NW,397989.54,140280.67,Exact,229000,38.93040448,-77.02318685
0101000020E61000006DADEDF5C73B53C0FA944A1598734340,3,-76.9340818977836,38.9030861629046,3,A & S Grocery,4748 Sheriff Road NE,405717.94,137249.09,Exact,148953,38.90307871,-76.93407963
0101000020E61000002CF1C2CE3B3B53C081A56738ED724340,4,-76.9255276296186,38.8978718476212,4,A-1 Grocery,615 Division Ave NE,406460.41,136670.83,Exact,4148,38.89786439,-76.92552537
0101000020E6100000E5CD4485283F53C0CB7F0E14F46E4340,5,-76.9868504606066,38.8668311288588,5,Anacostia Market,1303 Good Hope Road SE,401141.37,133222.52,Exact,286027,38.86682368,-76.98684818
0101000020E6100000E3C83D3C4F3C53C0DC236100DD724340,6,-76.9423384079232,38.8973768860567,6,Benning Heights Market,547 42nd St NE,405002.17,136614.83,Exact,8635,38.89736943,-76.94233614
0101000020E61000008F9976F7613F53C08FE046CA96734340,7,-76.990356691971,38.9030467068331,7,Bodega Market,1136 Florida Ave NE,400836.66,137242.69,Exact,73050,38.90303925,-76.99035441
0101000020E61000007151B15A2E3E53C05B1D4AFE71764340,8,-76.9715815197215,38.9253612643867,8,Bodega Market (Franklin St),2409 Franklin St NE,402464.45,139720.13,Exact,47576,38.9253538,-76.97157924
0101000020E61000003E9D65F5123C53C0CBD6FA2221724340,9,-76.9386594068784,38.8916437063652,9,BP Benning Marketplace,4400 Benning Rd NE,405321.74,135978.61,Exact,288186,38.89163625,-76.93865714
0101000020E61000004B57B08D384153C0BA03C812CE7C4340,10,-77.0190790407803,38.9750463244945,10,BP Blaire Gas Station,7000 Blair Rd NW,398346.95,145235.41,Exact,249127,38.97503886,-77.01907675
0101000020E61000005FD7AB9FA94053C016A563526C7A4340,11,-77.0103553040332,38.9564381831221,11,Capital View Convenience Store,12 Kennedy St NW,399102.65,143169.61,Exact,283923,38.95643072,-77.01035301
0101000020E61000009F349A7D9A4053C0622AA2CBC0744340,12,-77.0094316471764,38.9121411014979,12,Capitol Food Mart,1634 North Capitol Street NW,399182.2,138252.24,Exact,226794,38.91213365,-77.00942936
0101000020E610000075A098068F4053C060CD7D4915764340,13,-77.0087318860464,38.9225320866232,13,Capitol Market,2501 North Capitol St NE,399243,139405.72,Exact,46731,38.92252463,-77.0087296
0101000020E61000000B71B4FCE33F53C06E8CD79B1C6A4340,14,-76.9982925049701,38.8290055052552,14,Chesapeake Big Market,601 Chesapeake St SE,400148.46,129023.53,Exact,151054,38.82899807,-76.99829023
0101000020E6100000997BCC30033F53C009673BCF6D744340,15,-76.9845720220399,38.9096085792487,15,Circle 7,1211 Mt.Olivet Road NE,401338.3,137971.18,Exact,285930,38.90960112,-76.98456974
0101000020E61000005A9ADF59904153C0CD4AE69A7A754340,16,-77.0244377846147,38.9178115656794,16,Crown Gas Station Florida Ave,908 Florida Ave NW,397880.9,138881.95,Exact,239467,38.91780411,-77.02443549
0101000020E6100000F15B3A07CB4053C0B8F7994823754340,17,-77.0123941517768,38.9151467270152,17,DC Mini Mart,1828 1st Street NW,398925.31,138585.92,Exact,218526,38.91513927,-77.01239186
0101000020E61000003C6304F9BE3B53C0A3908564D8704340,18,-76.9335333121171,38.8816112376103,18,Dollar Plus Food Store (Benning Rd.),4837 Benning Road SE,405767.26,134865.24,Exact,16739,38.88160378,-76.93353105
0101000020E61000003DB96424143E53C0E55E059DB56F4340,19,-76.969981653343,38.8727373467339,19,Dollar Plus Food Store (Penn Ave),2529 Pennsylvania Ave SE,402605.1,133878.5,Exact,302054,38.8727299,-76.96997938
0101000020E6100000A030AC0BCD3E53C0E75B7A8F8E764340,46,-76.9812672657934,38.9262330613204,46,Neighborhood Market,1611 Rhode Island Ave NE,401624.55,139816.69,Exact,59933,38.9262256,-76.98126499
0101000020E61000002F0F3E396F3D53C00A31764604774340,20,-76.9599158228752,38.929825429624,20,Dollar Plus Food Store (Bladensburg Rd.),3182 Bladensburg Rd NE,403475.8,140216.07,Exact,287723,38.92981797,-76.95991355
0101000020E6100000CC9AF5B5303F53C07EAE322ADB6D4340,21,-76.9873503425642,38.8582583222484,21,Dollar Plus Food Super Market (Howard Rd.),1453 Howard Road SE,401098.12,132270.87,Exact,286224,38.85825088,-76.98734807
0101000020E6100000EC4B9948673E53C0DC0C58EEDC6C4340,22,-76.9750562062379,38.8504997234429,22,Dollar Plus Grocery,2101 Alabama Ave SE,402165.42,131409.83,Exact,51905,38.85049228,-76.97505393
0101000020E6100000A78CA81EA33E53C06F5E20318F724340,23,-76.9787083163596,38.895002319006,23,Economy Market,1804 D St NE,401847.25,136349.87,Exact,56044,38.89499487,-76.97870604
0101000020E6100000BB7D98B57B4053C06DC118B2B6694340,24,-77.0075528964335,38.8258953691158,24,Elmira Grocery,4401 South Capitol Street SW,399344.35,128678.31,Exact,299727,38.82588793,-77.00755062
,25,-76.9497176150723,38.8664118478052,25,FlexCare Pharmacy,3857 Alabama Ave SE,0,0,Manual,,,
0101000020E61000007303D3A3C83D53C0D75D2C4E2D704340,26,-76.9653733605542,38.8763900589641,26,G & G Grocery,2924 Minnesota Ave SE,403004.84,134284.12,Exact,287329,38.87638261,-76.96537109
0101000020E6100000B3AB7755733E53C0BB65E2B1FA764340,27,-76.9757916979631,38.9295330622489,27,Good Food Markets,2006 Rhode Island Ave NE,402099.25,140183.13,Exact,53027,38.9295256,-76.97578942
0101000020E6100000567498ED123D53C0311CF8E6F1714340,28,-76.9542825508695,38.8902022285675,28,Greenway Market,3542 East Capitol St NE,403966.45,135817.8,Exact,287971,38.89019477,-76.95428028
0101000020E6100000F0A07EBC3C3F53C0F4D088E30A6F4340,29,-76.9880843250649,38.8675272511646,29,Grubb’s Southeast Pharmacy,1800 Martin Luther King Jr Ave SE,401034.28,133299.78,Exact,56153,38.8675198,-76.98808205
0101000020E61000004A35FD239D3F53C03518D9846A6B4340,30,-76.9939683779504,38.8391956425786,30,Holiday Market,3509 Wheeler Rd SE,400523.85,130154.72,Exact,147495,38.8391882,-76.9939661
0101000020E610000062F248B40B3F53C0AEBD2E47B8744340,31,-76.9850916540346,38.9118811813661,31,Ivy City,1900 Capitol Ave NE,401293.19,138223.45,Exact,286519,38.91187372,-76.98508937
0101000020E6100000B3C77684B44153C0DEA492CF65794340,32,-77.0266452019107,38.9484269809065,32,Kwik Stop,4801 Georgia Ave NW,397690.46,142280.58,Exact,252033,38.94841952,-77.02664291
0101000020E61000003B014D840D4053C0E0377469B2734340,33,-77.0008272864058,38.9038896531213,33,L Street Market,1100 4th St NE,399928.44,137336.22,Exact,74582,38.9038822,-77.000825
0101000020E6100000B8052A67D83F53C0FAAF181AF46B4340,34,-76.9975854672462,38.8433943418042,34,Liff’s Market,600 Alabama Ave SE,400209.81,130620.79,Exact,294492,38.8433869,-76.99758319
0101000020E61000008AF6C2AE774153C0A95636DEE3764340,35,-77.0229321429655,38.9288364357396,35,Market 77,3021 Georgia Ave NW,398011.78,140105.77,Exact,229488,38.92882898,-77.02292985
0101000020E6100000CCABA546C93F53C0C165C2ED586C4340,36,-76.9966621864405,38.8464713336242,36,Martin’s Foodtown,2765 Martin Luther King Jr Ave SE,400289.95,130962.36,Exact,302061,38.84646389,-76.99665991
0101000020E6100000DAA33F4D104053C03F94059F28754340,37,-77.0009972659732,38.9153096204047,37,McKinley Market,321 T Street NE,399913.71,138603.93,Exact,38666,38.91530216,-77.00099498
0101000020E61000007EFEDE1AD63F53C090E99EAF386C4340,38,-76.9974452055126,38.8454873610951,38,Mellon’s Market,2921 Martin Luther King Jr Ave SE,400221.98,130853.13,Exact,278300,38.84547992,-76.99744293
0101000020E61000008A1BD8A6883F53C02F5FA80D18764340,39,-76.9927178450647,38.922616504144,39,Midtown Market,936 Rhode Island Ave NE,400631.68,139415.08,Exact,289090,38.92260905,-76.99271556
0101000020E61000002CAB5DD1754053C0753BDABC9A794340,40,-77.0071933164037,38.9500421880721,40,Milestone Place,4860 Fort Totten Dr NE,399376.66,142459.57,Exact,16680,38.95003472,-77.00719103
0101000020E6100000A22CB628F73E53C07C0B2DE38D724340,41,-76.9838376671301,38.8949625134725,41,Millie’s Market,1452 D St NE,401402.28,136345.36,Exact,63101,38.89495506,-76.98383539
0101000020E61000006E7B508AF53C53C028FC6BDC0F724340,42,-76.9524888620549,38.8911164935915,42,Minnesota Food Mart,3728 Minnesota Ave NE,404122.01,135919.37,Exact,31128,38.89110904,-76.95248659
0101000020E610000059D130C6D14153C01435C105137B4340,43,-77.0284308968241,38.9615254825314,43,Missouri Avenue Market,5900 Georgia Ave NW,397536.12,143734.68,Exact,253189,38.96151802,-77.0284286
0101000020E61000000479D1B2893F53C006A6AA3B5C6E4340,44,-76.9927817335763,38.8621971764299,44,MLK Grocery,2420 MLK Jr. Ave SE,400626.67,132708.06,Exact,47224,38.86218973,-76.99277945
0101000020E610000042A68479324053C07C3ED2F9D36B4340,45,-77.0030830088718,38.8424139365761,45,MLK Mini Mart,3333 MLK Jr. Ave SE,399732.55,130511.96,Exact,36102,38.84240649,-77.00308073
0101000020E6100000C5ED2B6ACB4053C00D1D1A9A5B754340,47,-77.0124177429775,38.916865424592,47,New Reservoir Market,1942 1st Street NW,398923.29,138776.71,Exact,227484,38.91685797,-77.01241545
0101000020E61000005E9CF86A073F53C03AD7A499F66E4340,48,-76.9848300299259,38.866908085985,48,New Seven Market,1406 Good Hope Rd SE,401316.71,133231.09,Exact,65049,38.86690064,-76.98482775
0101000020E61000005B4D4B6A703F53C075DB8D5783774340,49,-76.9912385611898,38.9337032046674,49,Newton Market,3600 12th St NE,400759.84,140645.81,Exact,33055,38.93369574,-76.99123628
0101000020E6100000835427F3913B53C03CD075A75C704340,50,-76.9307853269965,38.8778350338599,50,Night N Day 24 Hour Store,5026 Benning Rd SE,406006.01,134446.23,Exact,14817,38.87782758,-76.93078307
0101000020E6100000FCE8CC24073F53C0CB0CE1B973744340,51,-76.9848133012333,38.9097891380813,51,Northeast Supermarket,1201 Mt Olivet Rd NE,401317.37,137991.22,Exact,285914,38.90978168,-76.98481102
0101000020E6100000A8C68D531B3F53C05F22FF4868764340,52,-76.986045152091,38.9250649902263,52,Quick Trip,1356 Brentwood Rd NE,401210.27,139686.95,Exact,149954,38.92505753,-76.98604287
0101000020E610000089DD6F9BC64153C0AFAD2337587A4340,53,-77.0277493109466,38.955824587951,53,S&G Liquor and Grocery,5421 Georgia Ave NW,397595,143101.81,Exact,254615,38.95581712,-77.02774702
0101000020E6100000A01B167AEF3E53C01EA554BAA2714340,54,-76.9833687922491,38.8877860164036,54,S.E. Market,1500 Independence Ave SE,401443.1,135548.72,Exact,62552,38.88777856,-76.98336651
0101000020E61000000E3224828C4053C007BF26CE7E6A4340,55,-77.0085782293588,38.8320022288004,55,Secrets of Nature,3923 South Capitol St SW,399255.38,129356.22,Exact,276603,38.83199479,-77.00857595
0101000020E61000004003036BC93E53C07C6CE41D54754340,56,-76.9810458562919,38.9166369972224,56,Shell New York Avenue,1601 New York Ave NE,401643.97,138751.45,Exact,286332,38.91662954,-76.98104358
,57,-76.9983122160592,38.8443641025688,57,Smiley Mart,3019 Martin Luther King Jr Ave SE,0,0,Manual,,,
0101000020E6100000D84AA612B74153C033FA138D9C764340,58,-77.0268011752545,38.9266600143413,58,Sonya’s Market,2833 11th St NW,397676.23,139864.26,Exact,231729,38.92665256,-77.02679888
0101000020E6100000D2448E631A3F53C0CDE1204258734340,59,-76.9859879247296,38.9011383846866,59,Staples Beer & Wine,1364 Florida Ave NE,401215.64,137030.9,Exact,307229,38.90113093,-76.98598565
,60,-77.0201964587038,38.9558257291174,60,Starlight Food,5424 5th St NW,0,0,Manual,,,
0101000020E61000004E62CE3BA74153C02F703790C7764340,61,-77.0258344196009,38.9279726535577,61,Stop And Go,3001 Sherman Ave NW,397760.1,140009.95,Exact,232775,38.92796519,-77.02583213
0101000020E61000002E59709A994053C0719C672EE8754340,62,-77.0093774879071,38.9211555646143,62,Sunbeam Market,2324 North Capitol St NW,399187,139252.92,Exact,228141,38.92114811,-77.0093752
0101000020E61000003B7EFB7C4C3C53C02C4C191712714340,63,-76.942170734162,38.8833720192087,63,Texas Convenience Store,4350 Texas Ave SE,405017.7,135060.19,Exact,22871,38.88336457,-76.94216847
0101000020E6100000F78A5520064053C033F9A8B7ED714340,64,-77.0003762055556,38.8900745167762,64,The Corner Market,400 East Capitol St NE,399967.56,135802.63,Exact,28319,38.89006706,-77.00037392
0101000020E6100000E8B36E49EF3E53C086B7DEA1EE714340,65,-76.9833571868036,38.8901024290985,65,The Cupboard,1504 East Capitol Street NE,401444.06,135805.86,Exact,62482,38.89009498,-76.98335491
0101000020E6100000E6EE1052393D53C0A619200BB0724340,66,-76.9566258417814,38.8960048743036,66,Thomas & Sons Food Market,3425 Benning Rd NE,403762.85,136461.84,Exact,302283,38.89599742,-76.95662357
0101000020E61000003AE87538383B53C0FDD0583DD8714340,67,-76.9253086892174,38.8894190609098,67,Toni's Market,5319 East Capitol Street SE,406480.17,135732.52,Exact,288601,38.88941161,-76.92530643
0101000020E61000002C5F3C280D4253C03609F72D67764340,68,-77.0320553446305,38.9250312484378,68,Uptown Market,2701 14th St NW,397220.57,139683.6,Exact,231633,38.92502379,-77.03205305
0101000020E6100000F097C3AC5F3F53C07BDD9EF7B16A4340,69,-76.9902168077882,38.8335635711614,69,Wheeler Market,4133 Wheeler Rd SE,400849.62,129529.55,Exact,300965,38.83355613,-76.99021453
0101000020E61000005FA9997BE94153C0C089958F2C754340,70,-77.0298779550348,38.9154298490864,70,Whitelaw Market,1846 13th St NW,397409.03,138617.7,Exact,240475,38.91542239,-77.02987566
0101000020E6100000EB6B44CDE33B53C0FAABCFEE73744340,71,-76.9357811825342,38.9097954489169,71,Z Mart,1507 Kenilworth Ave NE,405570.02,137993.77,Exact,148950,38.90978799,-76.93577892
